food,calories,protein,fat,carbs,fiber,sugar
minuman_bersoda,41,0.0,0.0,10.9,0.0,10.0
martabak_telur,307,14.7,17.2,23.6,2.2,1.9
apel,52,0.3,0.2,13.3,2.3,10.3
brokoli,53,3.6,0.6,11.8,4.2,1.6
risoles,220,7.4,12.0,21.9,1.5,1.9
keripik,579,6.3,34.7,53.6,4.3,1.0
sosis,286,11.8,27.9,2.0,0.0,1.4
popcorn,357,13.7,4.8,83.2,15.1,0.9
lumpia,174,5.7,7.6,21.9,1.9,3.2
sosis,302,14.1,26.4,2.0,0.0,1.5
risoles,227,8.4,14.2,22.7,1.5,1.9
kentang,78,2.0,0.1,16.9,2.3,0.8
ikan_salmon,201,21.5,12.0,0.0,0.0,0.0
kentang,75,1.8,0.1,17.8,2.2,0.9
udang,96,26.3,0.3,0.2,0.0,0.0
coklat,529,4.9,33.9,56.0,7.6,47.2
ayam_goreng,224,28.7,15.4,0.0,0.0,0.0
kentang,71,2.2,0.1,18.6,2.2,0.9
udang,109,21.8,0.3,0.2,0.0,0.0
melon,34,0.8,0.2,8.3,0.8,8.4
bakso,206,18.1,9.9,7.5,0.5,2.1
tumis_kangkung,54,3.1,2.6,6.6,2.4,0.9
ayam_panggang,159,32.4,3.5,0.0,0.0,0.0
roti_gandum,249,13.2,3.4,40.7,6.8,4.0
anggur,69,0.7,0.2,18.2,0.9,14.2
kopi,2,0.3,0.0,0.0,0.0,0.0
madu,284,0.3,0.0,80.6,0.2,85.2
soto_ayam,160,13.7,6.5,12.4,1.2,1.8
tomat,19,0.8,0.2,3.9,1.2,2.7
kue_kering,510,6.4,23.2,64.0,2.2,29.7
sosis,285,14.2,27.7,1.8,0.0,1.4
soto_ayam,176,14.9,5.8,14.1,1.2,2.0
jus_jeruk,49,0.7,0.2,9.4,0.2,8.6
apel,49,0.3,0.2,12.9,2.5,10.2
klepon,165,1.9,3.9,26.9,1.4,14.3
bakso,194,19.0,11.3,8.5,0.5,1.9
tomat,18,0.9,0.2,3.8,1.1,2.5
udang,108,23.9,0.3,0.2,0.0,0.0
nugget,311,14.1,18.6,20.4,1.3,1.5
nugget,290,14.1,18.3,19.6,1.1,1.5
kue_lapis,257,4.7,8.7,42.3,1.0,24.4
semangka,28,0.6,0.2,8.0,0.4,6.0
gula_pasir,383,0.0,0.0,95.8,0.0,105.5
ikan_salmon,195,20.5,12.5,0.0,0.0,0.0
martabak_manis,404,8.8,16.5,52.1,1.5,27.7
mentega,736,1.0,83.7,0.1,0.0,0.1
kangkung,21,2.6,0.3,3.2,2.1,0.5
ayam_goreng,225,26.0,13.5,0.0,0.0,0.0
mangga,60,0.9,0.4,15.0,1.7,14.3
cumi-cumi,91,16.8,1.4,3.2,0.0,0.0
madu,297,0.3,0.0,80.8,0.2,75.7
tahu_goreng,145,12.5,8.6,5.0,2.4,0.9
tempe_goreng,203,17.4,11.9,8.3,4.8,1.4
teh,1,0.0,0.0,0.3,0.0,0.0
teh,1,0.0,0.0,0.3,0.0,0.0
teh,1,0.0,0.0,0.3,0.0,0.0
strawberry,31,0.6,0.3,7.3,2.0,5.5
kopi,2,0.3,0.0,0.0,0.0,0.0
selai,296,0.4,0.1,73.1,1.0,49.3
donat,415,5.2,25.6,51.3,1.5,29.4
susu_kedelai,54,3.1,1.6,5.9,0.6,4.1
kentang,79,1.9,0.1,15.7,2.2,0.8
nugget,311,13.1,17.2,18.8,1.3,1.5
siomay,150,9.1,7.1,14.5,1.4,1.9
gado-gado,197,8.0,12.7,13.9,3.9,6.3
timun,15,0.7,0.1,3.7,0.5,1.6
ikan_bakar,160,25.2,7.0,0.0,0.0,0.0
semangka,29,0.6,0.2,7.8,0.4,5.8
keju,414,23.3,35.0,1.3,0.0,0.5
es_krim,206,3.7,12.0,24.8,0.7,21.6
kacang_tanah,590,26.4,51.3,17.5,8.8,4.3
keju,410,23.1,34.8,1.2,0.0,0.5
mie_ayam,288,11.3,8.8,41.6,2.0,3.2
pisang,95,1.1,0.3,23.0,2.4,12.2
donat,418,5.0,23.3,51.9,1.5,29.6
nasi_goreng,346,7.8,11.9,50.5,2.0,3.2
kacang_hijau,351,23.1,1.1,57.7,15.4,6.3
martabak_telur,318,15.2,15.2,27.2,1.9,2.1
kacang_hijau,329,24.1,1.1,63.4,16.8,7.2
perkedel,182,4.8,9.2,18.5,2.1,0.9
wortel,39,0.9,0.2,9.7,2.7,5.2
bayam,25,3.1,0.4,3.3,2.1,0.4
donat,433,4.5,24.1,46.5,1.4,24.5
keripik,565,6.5,35.3,49.4,4.6,1.0
pisang,80,1.1,0.3,21.5,2.5,12.8
kepiting,96,20.3,1.2,0.0,0.0,0.0
timun,16,0.7,0.1,3.3,0.5,1.7
nasi_goreng,333,7.7,11.0,43.3,1.9,3.1
kentang_goreng,329,3.1,15.1,42.5,4.2,0.3
pastel,283,6.7,15.2,29.7,2.0,1.8
pastel,258,6.5,16.2,24.8,2.0,1.9
selai,263,0.4,0.1,67.4,1.0,51.3
mentega,662,1.0,76.5,0.1,0.0,0.1
sayur_asem,61,2.4,1.6,11.0,3.0,3.8
bakso,190,16.6,10.4,8.6,0.5,2.1
cumi-cumi,85,16.3,1.5,3.2,0.0,0.0
keju,436,26.9,31.4,1.3,0.0,0.5
daging_sapi,262,27.3,16.0,0.0,0.0,0.0
kopi,2,0.3,0.0,0.0,0.0,0.0
pecel_lele,271,20.6,18.2,11.7,1.9,1.6
mangga,65,0.9,0.4,14.9,1.5,13.2
strawberry,32,0.7,0.3,7.3,2.1,5.3
ikan_salmon,208,20.3,13.3,0.0,0.0,0.0
perkedel,169,4.6,8.6,16.3,2.0,1.0
semangka,29,0.5,0.2,7.8,0.4,5.9
mie_instan,404,10.2,14.7,55.4,2.3,3.1
yogurt,64,3.8,0.4,11.2,0.0,10.6
tumis_kangkung,51,3.4,2.7,6.0,2.5,0.9
anggur,72,0.8,0.2,19.3,1.0,16.3
sambal_goreng,143,5.7,10.0,8.4,2.2,2.8
ikan_tuna,141,21.9,5.4,0.0,0.0,0.0
kacang_hijau,365,24.7,1.2,65.5,14.4,7.1
mie_instan,405,9.9,14.8,52.5,2.3,3.1
tumis_kangkung,51,3.4,2.5,6.0,2.6,1.1
coklat,597,4.8,32.0,66.0,7.3,47.6
lumpia,171,6.0,8.5,20.1,2.1,3.2
kacang_merah,310,21.3,1.0,63.4,16.0,2.2
perkedel,160,4.8,9.3,18.0,2.1,1.0
batagor,178,10.1,9.0,16.7,1.3,1.8
onde-onde,235,3.7,8.2,34.8,1.9,17.3
martabak_telur,303,15.3,15.7,23.8,1.9,2.1
puding,139,3.0,2.3,26.2,0.5,19.9
tahu_goreng,141,13.0,8.7,4.7,2.4,0.7
soto_ayam,161,14.8,6.0,13.6,1.1,1.9
kacang_tanah,563,27.1,50.7,17.3,8.3,4.3
jus_jeruk,45,0.7,0.2,9.5,0.2,8.1
risoles,222,8.1,13.8,23.7,1.5,1.8
pepaya,42,0.5,0.3,11.0,1.8,8.6
opor_ayam,341,25.2,20.1,5.6,1.1,2.1
coklat,515,4.8,34.0,63.6,7.1,46.9
keju,404,23.5,34.4,1.4,0.0,0.5
pisang,97,1.1,0.3,25.0,2.4,12.4
alpukat,156,2.2,15.8,9.5,7.3,0.7
jeruk,50,0.9,0.1,12.4,2.4,8.8
kepiting,104,19.1,1.4,0.0,0.0,0.0
kopi,2,0.3,0.0,0.0,0.0,0.0
semangka,30,0.6,0.2,7.3,0.4,6.5
sayur_asem,70,2.5,1.5,11.0,3.1,3.7
teh,1,0.0,0.0,0.3,0.0,0.0
rendang,490,23.1,37.1,5.4,1.1,2.1
ikan_salmon,224,21.1,13.8,0.0,0.0,0.0
lumpia,192,6.5,8.3,24.2,1.9,2.8
bakso,187,18.2,11.0,7.6,0.5,2.0
timun,15,0.7,0.1,3.7,0.5,1.8
semangka,30,0.6,0.2,8.6,0.4,6.2
tumis_kangkung,56,3.1,2.3,5.6,2.5,0.9
pempek,232,10.4,8.0,28.0,1.0,2.8
nasi_goreng,320,8.4,12.0,51.7,1.9,3.0
yogurt,64,3.6,0.4,10.1,0.0,11.7
martabak_manis,415,7.6,17.5,51.7,1.4,30.1
ubi_jalar,78,1.6,0.1,18.8,2.9,3.6
susu,95,7.5,2.6,11.4,0.0,12.6
pastel,291,7.6,16.2,24.9,2.1,1.8
tumis_kangkung,53,3.4,2.3,5.9,2.3,0.9
jus_apel,47,0.1,0.1,11.0,0.2,11.0
donat,466,5.4,26.0,49.2,1.4,24.8
timun,16,0.7,0.1,3.7,0.5,1.8
apel,48,0.3,0.2,14.4,2.3,10.6
mie_ayam,268,12.1,8.2,48.3,2.2,3.0
kue_kering,482,6.1,25.5,63.2,2.0,27.0
keripik,485,6.4,31.8,51.5,4.6,1.0
udang,106,26.3,0.3,0.2,0.0,0.0
kue_lapis,288,4.7,7.7,48.4,1.1,22.7
risoles,251,7.6,13.7,25.2,1.5,1.9
pecel_lele,297,20.7,18.5,11.0,1.9,1.6
roti_tawar,259,8.5,3.0,52.6,2.6,5.2
sate_ayam,205,29.6,7.3,2.7,0.3,2.1
keju,412,25.8,32.5,1.3,0.0,0.5
minyak_goreng,968,0.0,107.0,0.0,0.0,0.0
sate_ayam,215,28.6,7.8,3.2,0.3,2.2
tempe_goreng,206,17.8,11.3,8.9,4.7,1.4
ayam_goreng,254,28.5,14.7,0.0,0.0,0.0
pizza,254,10.3,9.2,32.6,2.3,3.9
sawi,12,1.5,0.2,2.0,0.9,1.2
rendang,491,19.9,42.6,5.1,1.1,1.8
tomat,18,0.9,0.2,3.6,1.2,2.6
batagor,184,10.2,9.7,19.2,1.2,2.0
es_krim,189,3.7,11.1,25.8,0.7,22.0
kentang,77,2.1,0.1,16.6,2.2,0.8
strawberry,33,0.7,0.3,8.7,1.8,4.9
mie_instan,374,9.4,14.9,48.7,2.3,2.9
batagor,171,10.1,9.1,17.0,1.3,2.0
susu_kedelai,54,3.6,1.9,5.7,0.6,3.7
sayur_asem,59,2.7,1.6,11.1,2.7,4.4
gado-gado,182,7.3,10.9,16.0,3.8,6.5
sawi,12,1.4,0.2,2.4,0.9,1.2
pastel,272,6.3,13.7,27.0,2.1,2.1
mangga,66,0.8,0.4,14.8,1.6,14.2
batagor,197,9.0,9.1,17.5,1.2,2.1
gado-gado,179,8.2,10.9,13.6,4.0,6.3
kacang_merah,345,21.2,1.0,54.1,13.8,2.1
risoles,227,7.3,13.4,21.0,1.5,2.1
sayur_asem,60,2.7,1.4,13.0,2.8,4.0
siomay,141,8.6,6.5,15.5,1.4,2.0
mentega,756,0.9,79.3,0.1,0.0,0.1
sosis,282,14.1,29.6,2.0,0.0,1.5
edamame,121,10.7,5.2,10.6,5.2,2.0
kopi,2,0.3,0.0,0.0,0.0,0.0
pecel_lele,299,19.5,18.7,11.2,2.1,1.5
ubi_jalar,81,1.7,0.1,21.7,3.2,3.8
daging_kambing,250,24.5,12.0,0.0,0.0,0.0
tahu_goreng,153,12.8,8.3,4.6,2.3,0.8
minyak_goreng,925,0.0,97.1,0.0,0.0,0.0
minyak_goreng,876,0.0,92.6,0.0,0.0,0.0
pepaya,39,0.5,0.3,10.3,1.7,7.8
ayam_goreng,267,25.3,16.4,0.0,0.0,0.0
sandwich,321,16.1,11.7,38.4,2.8,4.5
telur_rebus,146,12.3,11.5,1.1,0.0,0.6
roti_tawar,287,9.5,2.9,47.9,2.4,5.0
air_kelapa,19,0.7,0.2,3.6,1.1,2.9
nugget,311,11.9,16.3,18.2,1.2,1.5
sayur_asem,68,2.5,1.5,13.0,3.2,4.1
donat,427,4.5,24.5,54.9,1.3,25.7
mie_ayam,302,11.0,8.6,41.8,1.8,2.9
kue_lapis,245,5.3,8.8,44.3,1.0,25.5
roti_gandum,269,13.6,3.3,43.9,6.8,4.0
bayam,22,3.1,0.4,3.6,2.3,0.4
minyak_goreng,929,0.0,94.4,0.0,0.0,0.0
semangka,31,0.6,0.2,8.3,0.4,6.0
minyak_goreng,863,0.0,103.3,0.0,0.0,0.0
roti_gandum,271,12.0,3.4,41.0,7.6,4.2
air_kelapa,19,0.7,0.2,3.6,1.1,2.6
opor_ayam,284,25.2,21.9,6.3,0.9,2.1
keju,378,23.8,33.5,1.2,0.0,0.5
mentega,649,1.0,78.9,0.1,0.0,0.1
kacang_merah,361,21.3,1.0,57.2,15.6,1.9
coklat,568,5.2,31.0,63.9,7.1,48.7
batagor,173,9.9,8.7,16.4,1.2,2.0
kentang,81,1.8,0.1,15.7,2.0,0.8
tumis_kangkung,57,3.1,2.7,6.1,2.4,1.1
telur_rebus,158,13.6,10.2,1.1,0.0,0.6
opor_ayam,330,21.8,20.5,5.8,1.1,2.0
siomay,148,8.5,7.1,16.3,1.5,2.1
sayur_asem,65,2.4,1.6,10.9,3.1,4.4
kepiting,90,18.0,1.4,0.0,0.0,0.0
bakso,189,18.0,11.7,8.8,0.5,1.9
minuman_bersoda,42,0.0,0.0,11.6,0.0,11.0
apel,52,0.3,0.2,12.8,2.4,9.7
kacang_merah,332,23.4,1.0,64.5,16.4,2.0
anggur,73,0.8,0.2,17.7,0.8,16.0
yogurt,57,3.2,0.4,10.6,0.0,11.5
capcay,79,3.8,3.0,13.0,3.1,4.5
donat,458,4.7,24.4,47.5,1.3,28.5
burger,298,16.2,15.2,26.0,1.6,4.2
kacang_tanah,520,25.3,53.2,14.7,8.4,3.7
rendang,501,23.9,38.3,4.7,1.0,1.9
anggur,74,0.7,0.2,17.9,0.9,14.5
sandwich,309,16.3,10.3,37.3,3.1,4.5
daging_kambing,246,26.4,13.7,0.0,0.0,0.0
pisang,94,1.2,0.3,23.2,2.8,11.3
sate_ayam,185,28.5,7.5,2.8,0.3,2.2
bayam,21,2.9,0.4,3.4,2.4,0.4
tomat,19,0.8,0.2,3.8,1.1,2.4
strawberry,30,0.7,0.3,8.3,2.1,4.9
alpukat,156,1.9,14.4,8.4,6.5,0.6
teh,1,0.0,0.0,0.3,0.0,0.0
keju,377,27.4,30.2,1.3,0.0,0.5
roti_tawar,284,8.2,3.5,53.3,2.7,4.8
air_kelapa,17,0.7,0.2,4.0,1.1,2.7
pempek,245,10.4,8.4,30.0,1.0,2.8
strawberry,34,0.7,0.3,8.7,1.8,5.4
es_krim,212,3.6,11.9,23.5,0.7,20.6
hotdog,264,9.9,16.3,21.0,1.1,4.3
teh,1,0.0,0.0,0.3,0.0,0.0
sosis,287,13.8,28.2,1.9,0.0,1.6
bakso,193,17.5,11.4,8.1,0.5,2.1
anggur,67,0.7,0.2,17.2,0.8,16.0
kentang_goreng,318,3.3,16.0,37.1,4.1,0.3
pastel,244,7.3,16.3,26.1,1.9,2.0
susu,94,7.6,2.4,12.4,0.0,12.9
madu,279,0.3,0.0,79.7,0.2,87.7
nasi_goreng,355,7.9,12.4,44.4,2.2,3.3
kentang,71,2.0,0.1,15.9,1.9,0.8
mie_instan,402,9.1,14.8,48.9,2.6,2.9
coklat,514,4.7,30.3,63.0,7.2,45.3
sayur_lodeh,137,4.4,8.2,11.4,2.6,3.1
jus_apel,45,0.1,0.1,11.8,0.2,9.8
kopi,2,0.3,0.0,0.0,0.0,0.0
cumi-cumi,88,15.6,1.3,3.3,0.0,0.0
madu,312,0.3,0.0,78.0,0.2,78.9
sate_ayam,206,26.0,7.8,3.2,0.3,1.8
lumpia,177,6.2,8.1,22.2,2.0,3.1
pecel_lele,297,18.7,18.3,12.5,2.0,1.5
lemper,189,4.7,7.0,28.0,1.3,1.0
sate_ayam,195,26.0,7.8,2.8,0.3,1.9
risoles,211,7.3,13.0,22.6,1.6,2.0
roti_gandum,223,13.4,3.4,41.5,7.6,4.1
sayur_lodeh,134,3.9,7.9,10.0,2.4,2.7
mie_instan,336,9.7,13.4,48.1,2.3,2.9
soto_ayam,163,16.1,6.1,13.4,1.1,1.9
kopi,2,0.3,0.0,0.0,0.0,0.0
yogurt,63,3.6,0.4,11.0,0.0,11.2
kentang,79,2.2,0.1,17.2,2.0,0.7
kepiting,95,21.1,1.3,0.0,0.0,0.0
pempek,208,11.7,8.7,28.5,1.0,2.8
tumis_kangkung,51,3.5,2.4,6.2,2.7,1.0
martabak_manis,399,8.2,19.1,44.7,1.5,30.6
soto_ayam,153,15.1,5.6,12.4,1.3,2.1
yogurt,60,3.8,0.4,10.5,0.0,11.1
tempe_goreng,199,17.4,11.0,9.1,4.6,1.5
donat,442,5.5,26.0,47.5,1.3,26.7
nasi_merah,114,2.5,0.8,22.2,1.9,0.3
sayur_lodeh,117,4.1,7.5,11.2,2.7,2.9
sawi,14,1.4,0.2,2.0,1.0,1.1
madu,277,0.3,0.0,80.1,0.2,78.0
coklat,534,5.3,29.8,63.9,7.7,48.6
lumpia,170,5.6,8.6,20.1,2.0,3.0
minuman_bersoda,45,0.0,0.0,10.7,0.0,9.9
bayam,23,3.0,0.4,3.8,2.3,0.4
air_kelapa,17,0.7,0.2,3.4,1.0,2.7
strawberry,31,0.7,0.3,7.4,2.1,4.6
mentega,653,0.9,83.3,0.1,0.0,0.1
daging_sapi,252,27.4,15.9,0.0,0.0,0.0
lemper,191,4.7,7.0,26.0,1.2,0.9
ikan_salmon,197,21.0,14.1,0.0,0.0,0.0
kopi,2,0.3,0.0,0.0,0.0,0.0
daging_sapi,236,26.1,13.8,0.0,0.0,0.0
tomat,20,0.9,0.2,3.8,1.1,2.4
kue_kering,515,6.4,24.8,70.9,2.0,25.8
mie_instan,355,9.8,13.5,52.0,2.5,2.8
martabak_manis,358,8.7,18.1,45.9,1.6,26.9
mangga,57,0.8,0.4,15.6,1.5,12.9
yogurt,57,3.4,0.4,11.3,0.0,10.4
susu,96,8.4,2.5,12.9,0.0,12.2
hotdog,262,9.6,16.4,20.5,0.9,4.0
pecel_lele,297,19.0,17.3,13.0,2.0,1.6
cumi-cumi,84,17.1,1.4,2.9,0.0,0.0
ayam_goreng,228,24.3,13.6,0.0,0.0,0.0
selai,300,0.4,0.1,65.7,0.9,47.5
selai,291,0.4,0.1,75.4,1.1,52.9
minyak_goreng,894,0.0,108.1,0.0,0.0,0.0
rendang,423,21.1,42.8,5.2,1.0,2.1
strawberry,31,0.7,0.3,8.7,1.8,4.8
tempe_goreng,187,18.2,10.5,9.6,4.2,1.5
capcay,94,4.3,3.2,12.7,3.2,5.3
bakso,190,19.8,11.3,7.3,0.5,1.9
gado-gado,198,7.3,12.5,13.7,4.1,6.0
soto_ayam,176,15.9,5.5,12.2,1.3,1.9
bakso,184,16.7,11.1,7.9,0.5,2.1
lumpia,174,6.4,8.7,21.5,2.0,2.8
kentang_goreng,322,3.5,14.6,44.7,4.1,0.3
roti_tawar,258,9.6,3.5,46.0,2.8,5.3
pepaya,42,0.5,0.3,11.0,1.7,7.8
ikan_salmon,215,22.9,14.1,0.0,0.0,0.0
minuman_bersoda,42,0.0,0.0,11.2,0.0,9.9
pempek,245,11.2,7.9,29.7,1.0,3.1
burger,314,16.0,14.8,25.3,1.6,3.7
anggur,62,0.8,0.2,16.8,0.9,14.7
opor_ayam,296,24.7,23.3,5.9,0.9,1.9
melon,32,0.8,0.2,8.3,0.9,8.6
soto_ayam,169,16.4,6.4,12.2,1.1,2.0
risoles,256,7.3,13.0,24.1,1.4,1.8
mie_ayam,271,11.8,7.5,41.5,2.1,3.1
gula_pasir,369,0.0,0.0,109.0,0.0,98.2
minuman_bersoda,39,0.0,0.0,10.3,0.0,10.6
ikan_bakar,184,27.7,7.5,0.0,0.0,0.0
susu,96,8.7,2.3,12.8,0.0,11.8
timun,17,0.7,0.1,3.5,0.5,1.7
gula_pasir,401,0.0,0.0,92.8,0.0,102.4
roti_tawar,277,9.4,3.0,50.0,2.7,4.7
jus_apel,43,0.1,0.1,11.8,0.2,9.6
capcay,95,3.8,2.9,10.9,3.0,5.3
telur_rebus,142,11.8,11.4,1.0,0.0,0.6
udang,102,25.0,0.3,0.2,0.0,0.0
jeruk,50,0.8,0.1,12.3,2.3,8.8
keju,378,25.9,33.2,1.4,0.0,0.5
yogurt,56,3.7,0.4,10.9,0.0,12.1
edamame,130,10.5,4.5,9.3,4.7,1.9
risoles,223,7.4,12.8,22.4,1.4,2.1
tomat,20,0.9,0.2,3.7,1.3,2.4
susu_kedelai,51,3.3,1.7,6.3,0.6,4.0
sawi,13,1.6,0.2,2.1,1.0,1.2
popcorn,416,13.5,5.1,85.7,15.3,0.9
mentega,735,0.9,80.3,0.1,0.0,0.1
ayam_goreng,224,27.0,15.3,0.0,0.0,0.0
lumpia,168,5.5,7.9,22.5,2.0,3.3
soto_ayam,179,13.6,5.5,14.2,1.3,1.9
madu,277,0.3,0.0,88.2,0.2,78.5
lumpia,188,6.2,7.8,19.9,1.8,3.2
sayur_lodeh,129,4.3,7.7,11.1,2.6,3.2
keju,441,27.0,31.2,1.3,0.0,0.5
es_krim,216,3.8,11.5,22.9,0.7,21.6
ikan_tuna,149,25.0,4.5,0.0,0.0,0.0
anggur,64,0.7,0.2,18.5,0.9,16.1
roti_gandum,261,12.8,3.1,43.1,6.4,3.7
susu,110,8.0,2.5,13.1,0.0,12.0
minuman_bersoda,37,0.0,0.0,10.5,0.0,10.3
ayam_goreng,224,29.1,14.1,0.0,0.0,0.0
timun,17,0.7,0.1,3.7,0.5,1.7
madu,285,0.3,0.0,77.6,0.2,81.4
hotdog,305,9.4,19.6,23.6,0.9,3.7
kangkung,19,2.6,0.3,3.2,2.0,0.5
jagung,96,3.6,1.5,20.8,2.6,5.3
selai,286,0.4,0.1,63.7,1.1,49.9
mangga,60,0.8,0.4,14.4,1.7,13.2
daging_sapi,262,26.6,14.1,0.0,0.0,0.0
onde-onde,260,3.9,8.5,38.4,1.9,18.5
ayam_goreng,233,25.2,15.9,0.0,0.0,0.0
pecel_lele,293,19.3,17.7,11.8,1.9,1.4
kue_kering,457,6.0,22.9,71.4,1.8,26.7
mangga,64,0.8,0.4,16.1,1.6,13.3
martabak_manis,422,7.5,17.8,48.8,1.5,27.9
sandwich,318,16.2,11.8,33.2,2.9,4.7
pisang,89,1.2,0.3,21.2,2.5,10.8
donat,494,5.1,23.8,53.0,1.3,25.1
martabak_manis,357,7.8,18.0,48.7,1.6,25.7
yogurt,56,3.3,0.4,11.3,0.0,10.2
batagor,174,10.5,9.8,18.5,1.1,1.8
gula_pasir,361,0.0,0.0,95.1,0.0,99.3
sayur_asem,61,2.6,1.4,13.2,3.0,4.2
pepaya,40,0.5,0.3,10.5,1.8,8.4
gado-gado,200,8.5,11.0,15.6,4.1,6.2
jus_apel,50,0.1,0.1,10.4,0.2,9.3
tumis_kangkung,51,2.9,2.5,6.3,2.4,1.1
kue_lapis,267,5.0,8.1,47.4,1.1,26.6
ikan_bakar,178,24.2,6.7,0.0,0.0,0.0
sosis,286,11.7,28.6,2.1,0.0,1.6
klepon,166,2.2,4.0,27.7,1.5,13.6
bayam,22,2.8,0.4,3.9,2.0,0.4
sawi,14,1.5,0.2,2.0,1.1,1.2
cumi-cumi,89,15.8,1.3,3.4,0.0,0.0
melon,36,0.8,0.2,7.4,0.9,8.3
martabak_manis,392,7.9,17.2,44.4,1.5,25.7
minyak_goreng,856,0.0,103.3,0.0,0.0,0.0
pempek,206,10.2,8.3,25.4,1.1,3.1
brokoli,54,3.5,0.5,11.5,3.8,1.8
rendang,479,22.9,39.1,4.8,0.9,2.0
tahu_goreng,153,11.1,8.6,5.0,2.3,0.8
sayur_lodeh,118,4.1,8.1,11.7,2.7,2.9
sayur_asem,60,2.3,1.5,12.4,3.1,4.2
keripik,563,6.5,32.9,49.6,4.7,1.0
ikan_bakar,185,24.6,7.0,0.0,0.0,0.0
sambal_goreng,142,6.5,10.3,9.1,2.1,3.2
cumi-cumi,93,14.9,1.4,2.9,0.0,0.0
jus_apel,49,0.1,0.1,10.6,0.2,10.5
ayam_goreng,224,29.3,16.3,0.0,0.0,0.0
alpukat,170,2.2,16.5,8.9,6.8,0.7
ayam_goreng,264,25.5,15.8,0.0,0.0,0.0
es_krim,186,3.7,10.0,21.7,0.7,21.5
kue_kering,486,5.7,24.3,71.1,2.2,29.9
pisang,80,1.0,0.3,21.8,2.7,11.2
tomat,17,1.0,0.2,3.7,1.2,2.8
selai,271,0.4,0.1,74.3,1.1,47.1
kentang_goreng,290,3.3,16.2,42.4,3.7,0.3
kentang_goreng,288,3.3,14.6,37.6,3.6,0.3
klepon,150,2.0,3.8,28.1,1.5,14.9
jus_jeruk,41,0.8,0.2,9.1,0.2,7.9
susu_kedelai,50,3.4,1.6,6.6,0.6,3.9
pastel,251,7.6,15.3,24.8,2.1,1.9
sandwich,308,13.6,10.4,33.7,3.2,4.6
mangga,61,0.8,0.4,15.4,1.6,12.7
gado-gado,181,8.1,10.8,15.0,4.3,5.8
jus_apel,43,0.1,0.1,10.1,0.2,10.3
ayam_goreng,235,28.5,14.5,0.0,0.0,0.0
cumi-cumi,85,16.3,1.4,3.0,0.0,0.0
lemper,178,5.4,6.4,27.1,1.2,0.9
minuman_bersoda,43,0.0,0.0,10.4,0.0,10.4
kentang_goreng,339,3.7,16.0,38.8,3.9,0.3
lumpia,189,6.6,7.6,21.8,2.0,2.7
roti_tawar,277,9.2,3.0,49.7,2.5,4.6
martabak_manis,375,7.7,17.5,48.0,1.4,26.0
kroket,192,6.5,11.9,17.1,1.9,1.6
pizza,259,11.6,10.7,32.7,2.3,3.9
air_kelapa,19,0.7,0.2,3.6,1.0,2.6
pizza,252,11.8,10.1,35.3,2.2,3.3
pastel,250,7.2,16.2,29.6,2.1,2.1
pastel,270,7.6,14.5,25.8,2.1,2.1
pecel_lele,264,19.0,18.8,11.6,2.1,1.5
tahu_goreng,150,11.1,8.2,5.2,2.4,0.8
rendang,429,24.1,38.5,5.0,1.0,1.9
minuman_bersoda,44,0.0,0.0,11.8,0.0,10.9
sambal_goreng,155,5.8,10.1,9.2,2.1,3.0
wortel,40,0.9,0.2,10.2,2.7,5.3
ikan_bakar,166,24.8,7.0,0.0,0.0,0.0
tahu_goreng,137,12.6,8.6,4.8,2.5,0.8
tomat,16,0.9,0.2,4.1,1.3,2.8
sayur_lodeh,132,3.8,7.9,11.5,2.6,2.9
daging_kambing,213,26.8,13.1,0.0,0.0,0.0
perkedel,152,4.7,9.2,15.8,2.0,1.0
lemper,184,5.2,6.9,26.5,1.3,1.1
hotdog,292,10.8,18.3,21.2,1.1,4.4
madu,321,0.3,0.0,82.2,0.2,83.4
ayam_goreng,227,24.6,15.6,0.0,0.0,0.0
nasi_goreng,304,8.1,11.6,52.5,1.9,2.8
roti_tawar,282,9.1,2.9,46.4,2.9,4.8
bayam,23,2.7,0.4,3.3,2.2,0.4
pisang,84,1.1,0.3,24.6,2.6,11.0
bayam,21,2.7,0.4,3.6,2.2,0.4
ikan_tuna,141,22.6,5.2,0.0,0.0,0.0
bayam,22,3.0,0.4,3.6,2.2,0.4
rendang,463,22.1,37.5,5.1,1.0,1.9
pizza,292,11.6,9.5,32.4,2.3,3.7
keju,424,27.0,34.2,1.2,0.0,0.5
sosis,282,12.9,27.4,2.1,0.0,1.6
ikan_salmon,195,20.8,13.3,0.0,0.0,0.0
kepiting,90,20.4,1.2,0.0,0.0,0.0
wortel,44,0.8,0.2,9.6,2.7,5.0
wortel,41,0.9,0.2,10.6,2.6,4.9
ikan_salmon,208,24.0,13.2,0.0,0.0,0.0
martabak_telur,271,12.8,16.5,26.7,2.1,2.0
pepaya,45,0.5,0.3,11.5,1.5,7.3
sosis,327,13.4,24.4,2.1,0.0,1.5
pepaya,41,0.5,0.3,10.2,1.8,7.9
kangkung,17,2.8,0.3,3.0,1.8,0.5
alpukat,173,1.9,14.0,9.7,7.7,0.8
cumi-cumi,89,15.5,1.4,2.9,0.0,0.0
ayam_panggang,174,33.7,3.9,0.0,0.0,0.0
susu,101,7.6,2.5,12.3,0.0,12.0
